speaker,response
thats a rude thing to say out loud,its an outrage honestly im tempted to leave the university
forgive me for asking a stupid question but why are you being stupid,im not being stupid im employing the work of dutch researcher mirjam tuk who found that people with full bladders make better decisions
um raj invited me to go to the movies with you guys,excuse me i didnt authorize this
leonard leonard i cannot believe we were missing that jerk,you were
sit over there,sit over there baby wipe
at this moment i find myself craving human intimacy and physical contact,oh boy you know ours is a relationship of the mind
sheldon she just got off the plane she doesnt want to cook,of course she does making me food is her way of saying i love you making me food when shes too tired to cook is her way of saying i really love you
okay just one question what,my point is pretending to be an alien is a valuable coping mechanism ive used many times i did it the first time i went to see you in a play you had no idea commander umfrumf of ceti alpha three was in the audience oh dont worry he gave you seven thumbs up
well,they had a terrible time of it leonard
thanks,now get out of my spot
is that raj and howard,possibly but unverified
ive come up with a series of exercises to help with your compulsive need for closure,i take issue with the word compulsive
all right but just for the record i checked in with you to see how youâd feel about it,fine the record shall so reflect now getting back to the problem at hand what to do with a washedup experimental physicist
sheldon whats going on,i read his research and its leaps and bounds ahead of mine which means the mommy of the smartest physicist at the university is not my mommy as i had thought its his mommy
were going to long beach,no of course not theres no cousin leo theres no intervention focus leonard
hey guys i need to use your tv,whats wrong with your tv
i know next time i get pulled over for a speeding ticket here come the waterworks,here come the waterworks
ugh what are you doing here,you told me not to call and i didnt know how else to give you the good news fun with flags is back and you can be in the next episode
what do you think,great ive been doing some reading about vehicular safety did you know that the highest number of drowning accidents happen on or around boats
sheldons spot the coin is in your spot,oh thats clever
guilty pay the cashier,i object youre completely ignoring the law
i dont want to do that,all right well im going to perform full backup reinitialize and then reinstall all my operating systems
hey i dont understand why youre not upset with amy,i am so much so that im gonna bring her here for dinner on our next date night
good deal,sucker didnt even ask for the friends and family discount
well go ask leonard,i did he said and i quote ask penny it was her cockamamie idea
blue and yellow make green,well then its settled
what does that mean,i told him well meet him facetoface anytime anywhere
i should be so lucky,so uh what do you say
sorry i left them in my turban,oh ill make english breakfast tea they destroyed your culture thats close enough you know im curious why are you so upset about seeing emily with another man
may maybe for you,why do i need you now
okay ooh perhaps today is the day we finally find out whats inside the magic eight ball,did it when i was four its an icosahedral dye floating in tinted blue water
fun fact its neither they actually use the aar type e coupler if you listen carefully when the locomotive disconnects youll hear the characteristic clickpshhtthunk of the knuckle,get out of town
oh a little red dead redemption huh,yes
you went out and bought linen,dont be silly i borrowed one of your pillow cases
oh i dont know where he wouldve gotten that aside from a pro forma consummation of our marriage his father and i only had intercourse for the purposes of reproduction,that seems a fairly efficient arrangement
not really no its funny huh leonard back in school i was the winner and you were the loser and now were reversed youre the winner,youd think a winner could make a decent cup of cocoa
would you please get that,of course why do you have to make things so complicated
im busy,doing what all right youve made your point
hey howard whats up,ive decided not to procreate
sheldon,penny
ill show you one more time raj,hang on this time do it with me so i can make sure theres no monkey business
which is,i want you to crawl back to him and apologize
hey,howard youre feeling better about me today arent you
okay sheldon what can i get you,alcohol
yes,good see how its done leonard
eight oclock sheldon that pocket watch is ridiculous,nonsense i look like a train conductor under what pretext did you lure her here
i dont know,how can you not know i just told you have you suffered a recent blow to the head
why dont we just talk,ah the talking cure classical freudian good choice if it will help speed things along uh my answers to the standard rorschach ink blot test are a a bat b a bat c a bat and d my father kll my mother with a hypodermic needle
you do realize everyones eating at rajs again tonight,i didnt say the snacks were for you now did i nosy rosie
well kind of takes the romance out of relationships,kind of it does it perfectly
yeah and ive seen those legs you might want to get some drano,hold on if you dont want to live with leonard why dont you just tell him
thats it all of you in my office now,and thanks to you i know better than to ask if youre menstruating and based on your behaviour i dont have to
okay,okay well then uh first things first um are you familiar with the brachistochrone problem
that somewhere right now stephen hawking is saying damn it i meant to click no,ill walk you through it the game is not called words with strangers no its not even called words with acquaintances it is called words with
what are you waiting for kll wil wheaton from hells heart stab at him,i cant
sheldon this has to stop you need to get some sleep and take care of yourself,amy i have gotten more done in the last few days than i have since i made the switch to dark matter what if i stop doing this and it all goes away
youre kidding,i may be an alien but i have urges if amy wants to copulate by firing her eggs into space well then i will happily catch them with the reproductive sac on my upper flermin im not the best at reading facial cues but i can see that youre a little turned on
you know when i first read the script for empire strikes back and darth vader told luke he was his father i thought for sure he was lying,me too but he wasnt was he
hey were home any progress,how could there be with these constant interruptions
hmm youre up late,oh im working on my lesson plan for wolowitz he is going to be so lost look at this section over here even i dont really understand it
actually i did get you something,but what about our agreement
i have a job,yes he does he caters to my every whim
okay then we wont touch the hard drive well just erase the first season of battlestar,there were outlaws
uh since youre paying for dinner ill let that slide open yours,have you ever paid for a meal
are you spock,i dont like this game
put on your noisecancelling headphones cause its gonna get loud,oh not this again
its always nice chatting with you sheldon,sarcasm
it does but in my experience you dont,there are more things in heaven and earth horatio than are dreamt of in your philosophy
im sorry are you suggesting that if we let penny stay we might succumb to cannibalism,noone ever thinks it will happen until it does
well that makes sense the prefrontal cortex is responsible for planning and anticipation and patients with brain lesions on their,brain lesions
thats not twue people have been pointing and waughing at you your whole wife,all right ive had enough attention everyone i m dr sheldon cooper as many of you in the physics department might know my career trajectory has taken a minor detour
what do you mean new roommate what happened to leonard,the same thing that happened to hm erectus he was replaced by a superior species
i need a hug,sorry i have company
no please dont ruin this for me,do you remember how upset i was when they replaced edward norton as the hulk
ii see jjusjust wait here one moment security,i got to run but not with scissors that would be unsafe
what,unlike hot tub time machine this couldnt be more simple when biff gets the almanac in 1955 the alternate future he creates isnt the one in which marty and doc brown ever use the time machine to travel to 2015 therefore in the new timeline marty and doc never brought the time machine
sheldon are you all right when last we spoke you were going to take a taxi home from rajs but according to facebook you just checked in at the cheesecake factory,yes i was in a taxi but the driver didnt look at all like the photograph on his license so i leapt out and ran for it
yeah baby ill be right in,you brought a girl to the mars rover control room
yogurt,yeah
hey dont discourage him this is a fantastic opportunity,no one asked you uhura
im sorry,do you have allergies
well if wil wheaton and stuart win their match and we bat lonely larry and captain sweatpants in the next round well face off for the championship,so my path to satisfaction is blocked by lonely larry and captain sweatpants very well they must be destroyed
my blood work shows thyroid function normal cortisol levels normal,how about your folliclestimulating hormone levels
okay i know what youre doing,really
its nice that you called them esteemed,youre right ill take that out
sheldon you dont give your mother enough credit shes warm shes loving she doesnt glue electrodes to your head to measure your brain waves while potty training,you were lucky when i was a kid if i wanted an eeg i had to attach my own electrodes
okay honey did you even know the people that are moving out,i never met them thats what made them perfect there were no awkward hellos in the halls there was no clicketyclacking of high heel shoes on hardwood floors they may as well have been a family of cats just jumping around from drape to drape without that annoying ammonia urine smell
oh,oh congratulations
what then then why dont you do it,uh well its scary and sometimes i get the pedals mixed up but more importantly driving me to work is one of the things that gives your life purpose i cant take that away from you so what do i do oh come on im practically feeding you the answer i compromise
thanks,thats what tertiary friends are for
okay how about this for a topic why is leonard being a giant douche assuming giant douches are possible,of course they are leonards being one
outside a house,i dont understand what were doing
were socialising meeting new people,telepathically
just dandy mr iwishiwasbetteratimprov,read another one
uh sheldon there are two dumplings left do you want them,dumplings dont you understand whats going on here
no youre right we should do what you do have our mom send us pants from the walmart in houston,they have a man there who understands my personal style
so,theyre both curry based cuisines
plus youre forgetting that the infinite crisis storyline restored joe chill to the batman mythology,i am forgetting nothing and i resent your tone
hi sheldon,pardon me excuse me
trick or treat bubbeleh,what no you mean this was all a ruse oh how could i be so stu
no problem welcome home,what
morning sheldon come dance with me,no
for the same reason i dont wear the apron or the hair net,fine what about epilepsy
yeah absolutely you need a device capable of delivering information across a wide range of perceptual modalities,any intelligent organism would at the very least need the ability to locate the position of objects in space so the ideal interstellar lingua franca would be haptic
its why my people wandered the desert for 40 years took that long to walk it off,you see penny the israelites were in the desert
no,did you protest
whats this,mountain dew ah refreshing now were going to combine these chemicals with ordinary dish soap creating a little exothermic release of oxygen
i dont know whats scarier the bathroom clowns or the woman that put them there,all i know is you can only fit one of her in a car and theres the clown that came out of her i really didnt want to come here but this is shaping up to be one of the best thanksgivings ive had in a long time
noted now before this goes any further you should know that all forms of physical contact up to and including coitus are off the table,may i buy you a beverage
i told you those walking dead pillowcases were a bad idea,no thats not it
wait wait wait when did you send my mom notes on a paper,august 16th right after her carpal tunnel surgery
no sheldon theres not going to be a scene theres two of us and one of him,leonard the two of us cant even carry a tv
hi,oh hi penny fyi the hot water is inadequate on machine 2 so colours only and 4 is still releasing the fabric softener too early in the cycle so id avoid using that for your delicates
sheldon what about you did you have a christmas tree,oh yes we had a tree we had a manger we had an inflatable santa claus with plastic reindeer on the front lawn and to make things even more jolly there were so many blinking lights on the house they induced neighbourhoodwide seizures
yeah but wesearch into dark energy pwoved that einsteins cosmowogical constant was actually wight all along so youre still surpwise surpwise a woser,oh you think youre so clever well let me just tell you while i do not currently have a scathing retort you check your email periodically for a doozy
thats not helping,well id give more examples but well everyone in your positions so forgettable
why not,well we dont have a dolly or lifting belts or any measurable upper body strength
what about when we went to comiccon and dressed like jabba the hutt you got to be jabbas head and i got to be his fat slug butt,we looked great
okay if you cant get me to stop eating your food what makes you think you can get me to stop using your wifi,i believe that youre capable of great change like when i finally got you to stop saying valentimes day
i know what it means i went to law school,and yet you wound up in traffic court anyway if it would please the court id like to begin with an opening statement
hurry were running out of time,okay
he was not how messed up was that,so messed up
oh hey,good penny reminder bowling tonight at seven oclock
what name,chair
look at you on santas lap thats so sweet,of course it is its the perfect gift how are you feeling right now guilty sad wishing you were jewish
yeah obviously,well played sometimes i dont give you enough credit penny
yes,dill slices not sweet
both great,bernadette
no no its okay i mean lets face it you guys would get creamed without me,we would indeed in this particular case your lack of femininity works to our advantage
morning sheldon,oh good youre up ive written a new and improved roommate agreement that benefits me greatly id like you to sign it
come on im just having some fun with you,i believe what youre doing is using humour to avoid vulnerability
dont worry youre surrounded by your cmen,i cant do this im going to faint
okay i just have one question what exactly are subatomic particles,a good question
skynet is kinky i dont know,artificial intelligences do not have teen fetishes
youre giving me a sticker,not just a sticker that is a sticker of a kitty saying mewow
hello,hello
yes,on sunday
well thank you,so have you and i returned to a social equilibrium
buddy i dont think you can i mean once its out there its out there this thing is like the science equivalent of a sex tape,you know frankly id prefer a sex tape
just come with me to rajs,well i dont want to go to a party
sing soft kitty to me,soft kitty is for when youre sick youre not sick
youre right i didnt ask her out i should ask her out,no no now that was not my point my point was dont buy a cat
oh hows it going,you tell me dear esteemed colleagues as you may know i have requested to change my field of study my decision to do so is i believe in the best interest of science at your convenience id be happy to explain it to you in words youll understand
so youre youre saying we should stand here in my lab on a saturday night and watch the rest of ghostbusters on a crappy laptop,no
hey i got to hand it to raj he found a really nice spot to have a bachelor party,its not bad unless you compare it to a train then it stinks
i dont care,wrong hunts hey amy what do you say you ready to move on to the mustard round
if you were to die this evening with no opportunity to communicate with anyone what would you most regret not having told someone,so it would be today huh well i suppose theres something satisfying about dying on my birthday
not really,yes you are im using neurolinguistic programming to modify your thought patterns
i dont know we just started to think about this maybe ill move in with penny or maybe she and ill take this place and you can move across the hall,move across the hall did you take a marijuana
i think it upsets sheldon when you play with the food,no it upsets sheldon when she willynilly takes it from the containers without regard for its equitable distribution this is essentially why you have famine in india
yes,even though the menu description specifies shredded
whats up fewwas,what are you doing here kripke
look at that sign up there,yes
hi baby,you called my mother
i call everyone sweetie,you tramp
well you clearly did something to aggravate her,im at a loss if you like you can review my daily log of social interactions and see if theres a blunder i overlooked
do you understand that stephanies not here to treat your imaginary ailments,how is it imaginary that i keep hearing an octave above middle c is that imaginary i dont think so
you take this one i spent an hour last night on how do vampires shave when they cant see themselves in the mirror,wellgroomed vampires meet in pairs and shave each other case closed
i i think i still have it,i did not get a clear answer im gonna set this down now
hold on so your idea is to get a van and cruise the streets looking for kids to pick up,yes
do you honestly think you can just waltz back in here after the way you behaved yesterday,i was not myself i had lost a lot of thumb blood
are you okay,oh im fine why did you come
that is not fair i complain about what a burden it is at least once a month,oh no no lets not sugarcoat this you find me finicky pedantic and annoying
okay look can we just please forget about all this extra stuff and can you just tell me what leonard does,all right leonard is attempting to learn why subatomic particles move the way they do
all the time and he knew that as your girlfriend i wasnt gonna stand by and let him bring a table into your apartment i mean a table come on,it is hideous
good morning snickerdoodle,morning
i like you too,well i should hope so i dont see anyone else banging on this door to put up with your nonsense not even a goodbye you see thats the kind of thing that makes people think youre weird poor kid she just doesnt see it
sheldon im surprised youd choose to go to a pub,at our committee meeting amy made a motion for a picnic in a park but i tacked so many amendments on that thing it sank like a lead balloon
leonard youre going to have to let this go you had a little cheese dip you farted i thought it was cute,oh hi stephanie
wait hang on you guys are gonna work in a mine,why not
what what what what what,never mind i clearly woke you up in the middle of a rem cycle youre in no state to talk
so sheldon how you doing,thats how you start a psychotherapy session how am i doing i was promised a riverboat journey into the jungles of my subconscious instead i get the same question i hear from the lady who slices my bologna at ralphs
huhâ scrimmageâ,the line of scrimmage is the imaginary transverse line separating the offence from the defence
really triumphant,oh yes you should have seen those young people thirsty for knowledge drinking in my wisdom i may have changed a few lives today
all right but i have some conditions,i reject them all
because youre happy theyre elevated,oh that is infuriating ooh look they went back up again terrific oh no they went back down
no its wo de ming zi shi sheldon,wo de ming zi shi sheldon
take it raj its more than ive ever gotten,and may i point out she wouldnt have asked me to go with her if you hadnt been drunk and boring
i dont know i just have the one day,do you like trains
what youre okay with an experiment where you have to answer awkward questions about your innermost feelings,yes
sure,now would you say ointment is more equal to or less funny than kumquat
not yet,well perhaps i can help sherlock holmes always says when you eliminate the impossible whatever remains however improbable must be the truth now have have you tried doing that
yes,uh mee krob and chicken satay
yes he looks much cooler than the nonsmoking monkeys although its not much of a contest the other monkeys just sit around and masturbate,if you dont mind id like to stop listening to you and start talking
oh no come on,yeah you know how it works once a quarter keep our readiness up now rise and shine sleepy head half the town is probably dead
your dresser who is this,its sheldon
can i go back and prevent you from explaining that to me,same paradox if you were to travel back in time and say knock me unconscious you would not then have the conversation that irritated you motivating you to go back and knock me unconscious
well dont turn it off you might miss your call from the nobel committee letting you know youve been nominated as dumbass laureate of the year,oh yeah well you wouldnt even be nominated dr gablehauser i have a series of important multibit calculations and simulations to run all shes doing is reducing irrelevant data and making a mock
i know i just thought as an outsider you might be able to provide a fresh perspective,i have no difficulty believing youre not butter
sheldon be nice,im sorry its the bad boy attitude that comes with this hair
all right have you considered improving your socialization kll thus allowing you to communicate more effectively with other people,isnt that their burden im the one with something interesting to say
im sorry,you are the living embodiment of the beautiful princess punchali
come back in sheldon hes not going to hurt you he looks friendly i think he might be someones pet,no bernadette dont be a hero
really how could you tell,she was attempting to engage me in gossip
yes,youve dedicated your lifes work to educating the general populace about complex scientific ideas
were not wasting time with names right now,i see is that decision open for discussion
problem,the online description was completely misleading they said eight slots plus removable id to any rational person that would mean room for nine cards but they dont tell you the removable id takes up one slot its a nightmare
what the,the tv is gone
of course not,well based on your reaction it looks like i made the right choice isnt that right giuseppe
im so sorry dr cooper,its all right alex im not mad at you im just disappointed
fine honestly if i could have one quality i wish i could be as smart as you guys,ha keep dreaming
a friend at the school of pharmacology gave me these new pills theyre testing he says its the next big thing for social anxiety disorder,fascinating whats in it
here i am janitor in former soviet union i am physicist leningrad politechnica go polar bears,well thats a delightful little story but our arrangement was that you sit here and not say anything i answer the questions
this doesnt make any sense i mean i i thought i did a a really good job i excuse me,ive been studying how to make people laugh they say that comedy is tragedy plus time lets tickle some ribs
what do you want,its not what i want its what evolution wants human beings are primates primates have evolved to live in groups both for protection and support
what the hell is wrong with you,im the flash i just knocked 30 000 times
oh what the hell im supposed to go see that girl from the comic book store alice but i dont know if i should because im going out with priya but shes in india,all right so the topic at hand is sexual fidelity probably wont be relying on seuss here although one fish two fish red fish blue fish might be surprisingly applicable go on
fun story meanwhile you still dont have a car,dont try to change the subject this is about a parking space it has nothing to do with cars
please youâre looking at facebook to find out how their date went,really you think i care if a man what shared a pumpkin latte with a dynamite lady
thank you,i will graciously overlook the fact that she is an arrogant subpar scientist who actually believes loop quantum gravity better unites quantum mechanics with general relativity than does string theory you kids have fun
okay everybody whos ready for a scavenger hunt somewhere in the city of pasadena ive hidden a golden coin you will be faced with a total of ten puzzles each p each each puzzle will lead you to the location of the next the last of which will lead you to the coin the first team that finds it wins,he is a born showman
yes i know youre too smart for this,exactly its like asking the human torch to heat up your frozen burrito
uh that thats not necessary,it is theyre what hold back the urine and the faeces look maybe maybe you shouldnt read it itll only make you feel worse
youre reading cosmo,yes as it turns out theres an article on how to get over a breakup in literally every issue anyway it suggests that i set these on fire but the smell of burning books reminds me of church picnics in east texas
we were worried about you,dont be melodramatic im just getting on a train and leaving forever
id be more interested in a scene depicting spocks conception,oh please for vulcans mating or if you will pon farr its an extremely private matter
denied i need your official answer,no i decline to provide one
hey why did you get two im with stupid,oh that ones mine
im a romantic,please dont tell me that your hopeless infatuation is devolving into pointless jealousy
youre making me worry whats going on,whats going on is were about to go to a prom and theres a great deal of pressure on young couples like us to engage in what mr bob eubanks called making whoopee
fine ill go hmm people turn to you for guidance and wisdom yeah thats a good one,no its not
we have been monitoring your son sheldon from the 23rd century and we have determined that he is now ready to join us his unique genius is our best hope for bringing peace to a vast and troubled galaxy,i understand oh shelly a mans here to take you away to the future be sure to pack clean underwear
so who wants to rent fiddler,no need we have the special edition
uhuh,penny penny penny
okay lets talk about that,as you know lizards coldblooded animals lack the ability to sense temperature but they do move more sluggishly when its cold so lizard weathermen would say things like bring a sweater its slow outside i love my mind
actually this is about where she and i are going to live,what do you mean
and some of those skinless chicks were hot,if youll excuse me im going to pack
youre sick of his nonsense and ready to move in with me,keep the table we dont use that space
thank you,i think ill keep it for myself
what do you think,drat
are you proud of yourself,in general yes
dont worry theres no one out here,leonard and penny leonard and penny leonard and penny
great how,we pretend were aliens im not the best at reading facial cues but im gonna say that you love it and want to hear more now in the beloved novel hitchhikers guide to the galaxy an alien named ford prefect pretended to be human in order to blend in so that he could write an entry about earth for the hitchhikers guide to the galaxy which is a travel book within the actual book which is also called the hitchhikers guide to the galaxy
oh sheldon are we really going to go with pop psychology,for your information this is all based on solid research stick with the character profile i wrote for you
yes,youre in my spot
well it applies to you too,i was afraid you might bring this up so i have a workaround there you go as far as youre concerned im smiling although i must admit im smiling a little bit at the moment because this loophole is so brilliant
see better with the accent,and send
okay great still not taking you to switzerland,drat no frodo for you
youre right alcohol poor judgement it could go well,of course theres the other possibility that this date kicks off a rather unpleasant six months of the two of you passing awkwardly in the hall until one of you breaks down and moves to another zip code
okay well let me just tell you if we were having this argument in my native language id be kicking your butt,english is your native language
okay youâre right i eat your food a lot how about this you can raid my fridge any time you want,oh thatâs very kind of you next time i have a hankering to wash down a d cell battery with a jar of old pickle juice iâll come aknocking
its not every day you get to tour nasa with a real astronaut,oh whos the real astronaut
i already know youre not you dont have an open science grid computer or a free electron laser and the string theory research being done here is nothing but a dead end,excuse me that is my research and it is by no means a dead end
hey sheldon,oh penny excellent i have a question about these maxi pads are the wings truly functional or have i fallen victim to marketing hype
thats just ridiculous why are you cooperating with him,i dont make the rules leonard
do you have a cousin leopold,no i made him up i think youd call him lee
im not finishing your sentence you pulled the plug on my funk,friends its words with friends which stephen hawking and i officially are now all i need is a bunk bed with a slide ill have everything ive ever wanted since i was six years old
sheldon youre not a weirdo,i wasnt speaking about me i mean honestly theres no telling what will set you off you know introducing myself as your boyfriend giving you the opportunity to drive me home breaking the ice with your colleagues using ethnic humour the funniest kind of humour
come in,ladies
you dont need to drive yourself crazy in order to be productive,or do i hmm sir isaac newton wrote his principia while convinced he was an armadillo
oh hey sheldon,hello
can we please just go in my chain mail is stuck in my underwear,youre wearing modern underwear
aa i need your official answer,well its not what he said
do you remember his old theme song,of course i do
oh youre welcome of course i couldnt get you into the vip section because you know thats for vips and you guys are just you know ps,theres a tribe in papua new guinea where when a hunter flaunts his success to the rest of the village they kll him and drive away evil spirits with a drum made of his skin superstitious nonsense of course but one can see their point
sheldon if this is too much we can stop,were not stopping
its easy just pretend youre putting away a sleeping bag,sleeping bags dont usually sweat this much but okay
dr cooper i have to tell you your friends are holding you back,i prefer to think of it as im pulling them forward
copy,i can see the ranch leonard oh its rustic its lovely id take a picture but people are chasing me im gonna make it im gonna make it they have tasers but they wouldnt dare use aaaaaaagh
no but youre right i should march over there and ask her out,oh goody were getting a cat
its anonymous and user name general relativity,well im responding to it
yeah see thats the code red its kind of like a jackinthebox no one knows exactly when but at some point something way worse than a puppet is gonna pop out of that box,have you notified nasa
great,so ive decided im going to collaborate with you
hows that,it was thanksgiving uncle carl said i think theres a badger living in our chimney hand me that flashlight those were the last words he ever spoke to us
okay,oh dear lord a police officers glancing in our direction weve been made
ooh the philharmonic is playing beethoven downtown,before you say yes its not the movie about the big dog
no,answer honestly this is not a trial thatll come later
thank you sheldon,youre welcome leonard
yeah me neither it should be about the work and if i cant get tenure id like to see you or sheldon get it,raj dont dangle false hope in front of leonard like that
okay now do you really need the honorary justice league of america membership card,its been in every wallet ive owned since i was five
pirate with a peg leg,actually that helps thank you
alright just a few more feet and here we are gentlemen the gates of elzebub,good lord
sheldon i am not going through menopause,are you sure you said that with the testy bark of an old biddy
im not afraid of him,all right leonard fairly calls the question who is in favour of abandoning our game and confronting pennys steroidinfused exboyfriend in a suicidal mission to extract money from him say hi to kurt for us
i dont know i heard you reading pretty loud last night,oh dear lord wheres amy
what did i do,i opened up and shared something deeply upsetting to me and you treated it as if it were nothing
hey sheldon,what happened
uh youre sad about not getting anything done last night so youre gonna sit around and pout about it,boy im not nearly as mysterious as i think i am
hey,hello
i know but youre going to be a tv star and you havent left me yet that takes guts,i dont know about you but im very uncomfortable with all this
intellectually about 30 hours emotionally about 29 years,unit cell contains two carbon atoms interior angle of a hexagon is 120 degrees
you must be burning up,a little but not more than your urethras will be after whatevers in those pants swims up them well i cut quite the dashing yet hygienic figure dont i i look like the flash about to get married oh a tissue a tissue oh good lord
yeah it was fun i walked in and two different guys got asthma attacks felt pretty good,well this calls for an expression of gratitude
if you would just use the bucket youd be so much more comfortable,my struggle is emotional
four dozen,yes and evenly distributed amongst brown white free range large extralarge and jumbo
uh thats my water,what
im here to support my man just like you,what are you going to do take peoples drink orders and get them wrong
yay,she made the case that if we break down in the middle of nowhere your nebraska backwoods kll and brawny hands will give us the best chance to survive in the wild
oh thats a funny turn isnt it you never think about it going the other way well you cant force things you need to figure out if youre in a relationship or if youre just calling it one its like they say a cat can have kittens in the oven but that dont make em biscuits,and that reminds me of another saying you can lead a chicken to crisco but you cantmake your mother fry it
leonard said cockamamie,actually im paraphrasing having been raised in a christian household im uncomfortable with the language he used and to be honest im not entirely comfortable with cockamamie
okay well anyways i brought you a dayold cheesecake to cheer you up,stale pastry is hollow succour to a man who is bereft of ostrich
now you just get comfortable,no no comfort is the enemy you know whats comfortable slippers and blankets and panda bears imagine a panda bear with richard feynmans face on it warm up the car leonard its poster time
i hate trains,dont be ridiculous you love trains
cant we just postpone it till the spring maybe next summer,this should be fairly easy to deduce hes holding the phone to his left ear ears do not cross hemispheres so hes using the analytical rather than the emotional side of the brain suggesting that he has no personal relationship with the caller
women huh cant live with them cant successfully refute their hypotheses,amen to that
happy now im moving the dirty sock,thank you raj keep an eye out for the other one
its an inverted cycloid,wonderful now what about eulerlagrange theorems
ooooh again,obviously youre not well suited for threedimensional chess perhaps three dimensional candyland would be more your speed
right right so youre still just texting and emailing you dont feel any need to hang out with her you know be in the same room,leonard you are my best friend ive known you for seven years and i can barely tolerate sitting on the couch with you imagine my attitude regarding prolonged physical proximity to amy farrah fowler
were having coffee,isnt it a little late for coffee
what are you kidding youre a semipro,no we are committing genetic fraud theres no guarantee that our sperm is going to generate high iq offspring think about that i have a sister with the same basic dna mix who hostesses at fuddruckers
hey,ive decided youre right my career is not over
oh wow good job okay um can you do this,well never know
i know,i want to thank you for taking time to see me
i got you a talking thomas the tnk engine for thanksgiving,with real puffing smoke
uh sure,well if youll excuse me im going to go do work that promises significant results as opposed to what you do which does not yeah you heard me
uhhuh,time for bed
why,it says keep this on your person at all times its right here under batmans signature
you understand why im doing this to you,i do
hey whats the matter,my equations someones tampered with my equations
come on sheldon you got this,indeed we are prepared for anything he can throw at us thats new
did you hold the baby,i did
sheldon im not going to learn morse code at three oclock in the morning,all right
okay ill set one aside for you,thank you you know i can buy all these things online i come here for the personal service
its from game of thrones what do you think,i dont know if were going to start a fantasy sword collection and ive long thought we should is this really the sword to start with
im mad at you how could you just go away like that without even saying goodbye and then call leonard for help instead of me,amy may i please have a moment of privacy to speak with my roommate
you did,that was actually a poorly chosen example as it had nothing to do with me
you know he might not reopen he didnt get a lot of money from the insurance company,oh boy if there is one thing that gets my goat its those dadgum insurance companies
im settling once and for all who is the smartest around here okay are you ready,absolutely
now youre helping them find ways to make us miserable,well im sorry leonard im a problemsolver its what i do
and snacks,well i guess it was too good to be true
uh uh uh yes i did,well then i guess its plausible hang on a second mister
no,then you can drive lets go
yes isnt she an amazing actress,actually id say shes a poor mans madhuri dixit
yeah i know and it drove me into the arms of another woman bipolar bear,well i appreciate your concern but i wont be seeing any more of amy than i already do i assume well deduct any extra time we spend together at work from our weekly quota
like what yeah yeah i see you youre making a little cheque sign in the air i got it just hold your horses what does leonard complain about,your driving the plethora of stuffed animals on your bed that stare at him during your amorous activities your constant tardiness your singing
youre having a guiltridden dream,do you have any evidence to support that hypothesis
right,you also made a common grammatical mistake you said nauseous when you meant nauseated but go on
so what happens next,oh more testing more success more fame yeah but dont worry i will remain the same downtoearth humble joe ive always been
youre not going to switzerland,oh but i am didnt penny tell you the good news
well you can relax just because you think i look pretty doesnt mean we have to spend the night together,were you hoping we would because its prom
actually thats only 750 everythings on sale,really talk to me about that pocket watch
why would you think this is an appropriate gift,um well you are black right
tough luck sheldon,you did this didnt you
we add bluetooth,brilliant men love bluetooth
hold on what are you using as a bonding agent,hot glue
people run in a marathon,not with a bowling ball on their back
oh come on tell me im wrong,oh leonard good there you are i need you to check my head for chair lice
hang on,youre holding two moderate spell cards a small rock and a potion of zancor which will be about as much help as an air conditioner on the ice planet hoth your only move is to play the potion lose the skirmish and two moves later the game
currently youre being paid under a grant to specifically research string theory if we promote you to junior professor youll be able to choose whatever field of research youd like,but if im a professor then ill have to teach a class
peer review its people magazine people picked me,what people
i dont get it i already told her a lie why replace it with a different lie,well first of all your lie was laughably transparent where mine is exquisitely convoluted while you were sleeping i was weaving an ununravelable web
okay these are uggs these are crocs these are knockoff manolo blahniks,bored
zack,then why did you ask
hey sheldon,what happened
hey whats with all the yelling,leonard disproved my element now all the attention is going to go away
well yeah but,this is money im not using
no,good there there was really all i had
and im sure he knew that before you held a grapefruit up next to it,well im not making any promises not only did leonard take what i feel is an unnecessary risk he deceived me
okay new salon topic salons dumb thing from a long time ago or interesting thing made dumb by talking about superheroes discuss,i dont believe it matters what the topic is whats crucial for a salon is that we conduct the discussion in an elevated and insightful way its all about the execution
i totally had one of those,of course you did it was a fun and practical way of organizing your school work but the bullies took it from us well no more tonight we take back our dignity our birthright and our pride what do you say whos with me
yeah toddlers do that,not as well as we do
hi,hi
and he wrote him a cheque,yeah that too big cheque
no absolutely not,its not a big deal we have latex gloves
i understand,and youre not allowed to be sarcastic or snide to me while im doing so
happy valentines day,okay shall we go to dinner
i fell on the floor all right he got you you can get him back,i refuse to sink to his level
excuse me,im just wondering if you really gave it the old college try or in your case the old community college try
actually i had him tested as a child doctor says hes fine,told you
and yes even shed a tear or two,like when you do a twohour fourth of july spectacular and it doesnt get recorded
hello,the second i go out of town you throw a christmas party without me
oh its wonderful and i swear im not saying that because justin timberlake is in it,yeah i have it on bluray we should watch it
never mind ill talk to penny,thank you
then put on a sweater,suppose i could run downtown and pick up something at shelmart
shelly im so glad youre here,i saw you having naked sex
it wouldnt kll you to pick up the phone,any word on my stolen items
are you saying you want to spank me,i dont want to but it looks like you left me no choice
